BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.0051,0.1525,0.0186,0.1063,0.0269,0.0532,0.7815,13.9667,0.3819,0.3052,0.0136,0.0672,0.2185
0.0175,0.1351,0.0181,0.1126,0.0156,0.0542,0.8462,13.4053,0.4271,0.2529,0.0276,0.0513,0.1538
0.0867,0.3425,0.0998,0.2055,0.2524,0.1494,0.328,35.95,0.2712,0.5405,0.0066,0.6548,0.672
0.0041,0.1298,0.0123,0.0933,0.0225,0.0529,0.8,20.9524,0.4787,0.257,0.0372,0.0833,0.2
0.0259,0.3209,0.0757,0.1818,0.3147,0.1067,0.3407,41.53,0.3608,0.6564,0.0043,0.7303,0.6593
0.0019,0.0664,0.0,0.0613,0.0056,0.03,0.922,8.1917,0.5928,0.2594,0.376,0.0355,0.078
0.0008,0.01,0.0,0.01,0.0012,0.0053,0.971,3.0532,0.2772,0.352,0.1903,0.0237,0.029
0.0014,0.0323,0.0036,0.0323,0.0011,0.0114,0.9794,1.9134,0.5315,0.3437,0.0099,0.0082,0.0206
0.0011,0.0194,0.0039,0.0155,0.0009,0.0055,0.98,1.856,0.3647,0.3806,0.0096,0.01,0.02
0.0014,0.0423,0.0035,0.0317,0.0018,0.0119,0.9691,3.552,0.3793,0.3698,0.0075,0.0124,0.0309
0.2365,0.4305,0.2172,0.3394,0.3769,0.2586,0.3411,43.77,0.5674,0.6283,0.0081,0.6353,0.6589
0.0346,0.2342,0.021,0.1041,0.1827,0.0976,0.3944,41.23,0.6419,0.4365,0.0133,0.6744,0.6056
0.0107,0.0879,0.0136,0.0879,0.0148,0.0461,0.8522,8.3324,0.3834,0.3066,0.0533,0.0696,0.1478
0.0042,0.1043,0.0088,0.0913,0.0126,0.0447,0.8833,9.6567,0.2833,0.2388,0.0048,0.0417,0.1167
0.0281,0.3628,0.0657,0.1674,0.2744,0.1255,0.3407,41.53,0.4412,0.6346,0.0043,0.6404,0.6593
0.0019,0.1242,0.0,0.1058,0.0116,0.0418,0.876,8.5435,0.2031,0.2546,0.3277,0.062,0.124
0.0177,0.3239,0.0353,0.1488,0.2329,0.1022,0.3387,36.25,0.4166,0.5879,0.0051,0.6951,0.6613
0.0019,0.091,0.0,0.0623,0.0145,0.0366,0.8203,18.3188,0.4336,0.2938,0.0035,0.0781,0.1797
0.0109,0.108,0.0233,0.0695,0.0167,0.0394,0.8125,20.5357,0.4434,0.4101,0.0009,0.0938,0.1875
0.002,0.0697,0.0037,0.0624,0.0028,0.0168,0.9617,2.9,0.4092,0.3806,0.0005,0.0191,0.0383
0.0015,0.0511,0.0043,0.0468,0.003,0.01,0.9577,3.8134,0.4406,0.3516,0.0005,0.0258,0.0423
0.0014,0.0649,0.0,0.0432,0.0122,0.0316,0.8273,15.5368,0.5277,0.2156,0.0022,0.0818,0.1727
0.0032,0.1818,0.0092,0.1636,0.0176,0.0436,0.8279,15.6036,0.554,0.4245,0.0018,0.0984,0.1721
0.0037,0.0802,0.0135,0.0624,0.0102,0.0358,0.8793,12.7451,0.4236,0.2494,0.6398,0.0431,0.1207
0.0052,0.1478,0.0175,0.113,0.0186,0.0405,0.8473,15.1598,0.4476,0.4048,0.15,0.084,0.1527
0.0017,0.0586,0.0,0.0541,0.0055,0.0284,0.9145,5.4831,0.3444,0.2477,0.5659,0.0427,0.0855
0.0027,0.0532,0.0,0.0532,0.0048,0.0195,0.9145,5.4831,0.4376,0.3868,0.5659,0.0598,0.0855
0.0113,0.2041,0.0224,0.0843,0.1705,0.0733,0.2793,38.69,0.2855,0.3501,0.0048,0.65,0.7207
0.0173,0.397,0.0459,0.1953,0.3037,0.1215,0.3407,41.53,0.5121,0.5365,0.0043,0.5618,0.6593
0.0009,0.0681,0.0,0.0613,0.0028,0.0172,0.9625,4.3038,0.3424,0.3792,0.0005,0.0243,0.0375
0.0209,0.2601,0.0456,0.1187,0.2134,0.1081,0.322,58.82,0.4111,0.424,0.0066,0.625,0.678
0.0061,0.1252,0.0215,0.1145,0.0034,0.0339,0.9676,3.6299,0.4955,0.339,0.0039,0.0081,0.0324
0.0824,0.3968,0.1053,0.1949,0.3096,0.1478,0.3407,41.53,0.3928,0.5779,0.0043,0.6067,0.6593
0.0025,0.0556,0.0,0.0382,0.0098,0.0329,0.8571,13.2714,0.5101,0.196,0.0252,0.0667,0.1429
