BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.1897,0.5344,0.2394,0.3069,0.4442,0.2385,0.4762,60.45,0.8753,0.7113,0.0009,0.5379,0.5238
0.1232,0.4896,0.1675,0.2448,0.3995,0.1779,0.4506,54.86,0.8382,0.6734,0.0093,0.6043,0.5494
0.1803,0.5082,0.2308,0.3005,0.2239,0.211,0.5333,57.81,0.6588,0.6597,0.0003,0.251,0.4667
0.1964,0.541,0.2813,0.3343,0.5173,0.2322,0.4615,50.67,0.8405,0.7205,0.0019,0.5113,0.5385
0.2335,0.521,0.2366,0.3081,0.4626,0.2597,0.3927,55.88,0.8356,0.713,0.0037,0.5933,0.6073
0.1821,0.4671,0.2384,0.2368,0.5067,0.1992,0.5,63.59,0.7874,0.6861,0.0006,0.544,0.5
0.1847,0.4204,0.2179,0.293,0.4816,0.1998,0.4486,50.46,0.739,0.6569,0.0019,0.6418,0.5514
0.2045,0.477,0.2486,0.3333,0.4851,0.2254,0.492,67.89,0.8264,0.6856,0.0119,0.5433,0.508
0.309,0.5851,0.3036,0.3597,0.4481,0.3356,0.4449,55.88,0.8445,0.7071,0.0018,0.4894,0.5551
0.251,0.512,0.2949,0.384,0.4373,0.2768,0.4859,66.37,0.8139,0.7222,0.0173,0.5078,0.5141
0.1011,0.3787,0.131,0.2367,0.3399,0.1327,0.4921,51.28,0.6163,0.6336,0.0065,0.7109,0.5079
0.3326,0.573,0.3767,0.3912,0.5092,0.3497,0.4701,57.91,0.8687,0.7311,0.0392,0.4662,0.5299
0.1791,0.4745,0.2296,0.3123,0.4688,0.2076,0.4675,60.14,0.7765,0.6775,0.0061,0.5725,0.5325
0.1464,0.5079,0.1915,0.2751,0.3921,0.1965,0.4414,58.21,0.7017,0.7202,0.0012,0.5664,0.5586
0.1729,0.4955,0.2162,0.2866,0.4215,0.201,0.494,62.07,0.6612,0.6938,0.0022,0.5556,0.506
0.2652,0.5648,0.2812,0.3523,0.5234,0.2952,0.4466,57.91,0.8812,0.7176,0.0086,0.4857,0.5534
0.0693,0.4875,0.1337,0.2161,0.2053,0.1434,0.5156,59.74,0.5089,0.6143,0.0006,0.2969,0.4844
0.3245,0.6097,0.384,0.3305,0.62,0.3363,0.4706,59.74,0.6388,0.7532,0.0057,0.4222,0.5294
0.0721,0.3409,0.0572,0.1578,0.2461,0.1289,0.3922,60.99,0.6994,0.4057,0.0048,0.6452,0.6078
0.2352,0.4988,0.2313,0.2878,0.3784,0.2665,0.4762,61.87,0.6862,0.6985,0.0026,0.553,0.5238
0.2484,0.4884,0.299,0.3696,0.2302,0.2616,0.5242,58.92,0.5559,0.6459,0.0004,0.2335,0.4758
0.3129,0.5466,0.4125,0.441,0.5897,0.3186,0.4542,60.35,0.7452,0.7427,0.0016,0.5036,0.5458
0.1327,0.4403,0.1772,0.2075,0.209,0.167,0.5455,60.85,0.401,0.6347,0.0005,0.2569,0.4545
0.3232,0.6271,0.4602,0.5141,0.3009,0.3377,0.5139,58.11,0.8644,0.7723,0.0006,0.1833,0.4861
0.2602,0.5181,0.3515,0.3795,0.511,0.2738,0.496,60.24,0.7677,0.7357,0.0006,0.504,0.504
0.2462,0.5281,0.3051,0.3483,0.2383,0.2686,0.524,52.02,0.8209,0.7264,0.0079,0.232,0.476
0.4061,0.6897,0.4208,0.4729,0.5594,0.4294,0.4919,58.42,0.9307,0.7898,0.011,0.288,0.5081
0.1235,0.4101,0.1356,0.2135,0.348,0.1509,0.3625,44.03,0.8096,0.6569,0.0083,0.6667,0.6375
0.1438,0.4601,0.2099,0.2577,0.4865,0.1766,0.4762,61.67,0.7598,0.6545,0.0004,0.5758,0.5238
0.2781,0.5523,0.345,0.436,0.5252,0.2974,0.4777,52.8,0.7925,0.7413,0.007,0.4806,0.5223
